Date,Title,Link,Content
20 May 2025,Nearly €1 billion awarded to boost development of renewable hydrogen,https://energy.ec.europa.eu/news/nearly-eu1-billion-awarded-boost-development-renewable-hydrogen-2025-05-20_en,"Today, the Commission announced the selection of 15 renewable hydrogen production projects for public funding across the European Economic Area (EEA)."
20 May 2025,European Commission adopts proposals to sign and conclude the EU-UK Competition Cooperation Agreement,https://competition-policy.ec.europa.eu/about/news/european-commission-adopts-proposals-sign-and-conclude-eu-uk-competition-cooperation-agreement-2025-05-20_en,press release
20 May 2025,Commission approves €1.2 billion Dutch State aid scheme to support industrial decarbonisation,https://competition-policy.ec.europa.eu/about/news/commission-approves-eu12-billion-dutch-state-aid-scheme-support-industrial-decarbonisation-2025-05-20_en,press release
20 May 2025,Improving cancer care through research: launch of the first National Cancer Mission Hub in Poland,https://research-and-innovation.ec.europa.eu/news/all-research-and-innovation-news/improving-cancer-care-through-research-launch-first-national-cancer-mission-hub-poland-2025-05-20_en,"Research and innovation news alert: Today, the first National Cancer Mission Hub will be inaugurated. This marks a milestone in the implementation of the EU Cancer Mission."
20 May 2025,Joint donor statement on humanitarian aid to Gaza,https://north-africa-middle-east-gulf.ec.europa.eu/news/joint-donor-statement-humanitarian-aid-gaza-2025-05-20_en,"Whilst we acknowledge indications of a limited restart of aid, Israel blocked humanitarian aid entering Gaza for over two months. Food, medicines and essential supplies are exhausted. The population faces starvation. Gaza’s people must receive the aid they desperately need."
20 May 2025,EU adopts 17th sanctions package against Russia,https://energy.ec.europa.eu/news/eu-adopts-17th-sanctions-package-against-russia-2025-05-20_en,The European Commission welcomes the Council's adoption of the 17th Russia sanctions package.
20 May 2025,Nearly €1 billion awarded to boost development of renewable hydrogen,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1264,"Today, the Commission announced the selection of 15 renewable hydrogen production projects for public funding across the European Economic Area (EEA)."
20 May 2025,Commission welcomes European citizens' recommendations for a stronger EU budget,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1272,"On 16-18 May, the third and final session of the European Citizens' Panel on the new EU long-term budget took place in Brussels. For the first time, a group of 150 randomly selected citizens from all 27 EU Member States have brought forward bringing their ideas for a sustainable and flexible long-te"
20 May 2025,Commission approves €1.2 billion Dutch State aid scheme to support industrial decarbonisation,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1250,No content found
20 May 2025,European Commission adopts proposals to sign and conclude the EU-UK Competition Cooperation Agreement,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1273,No content found
20 May 2025,EU pledges €2.3 billion at European Humanitarian Forum 2025,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1253,The European Commission announced an initial humanitarian pledge of over €2.3 billion for 2025 to address urgent global crises at the European Humanitarian Forum concluded today in Brussels.
20 May 2025,EU adopts 17th sanctions package against Russia,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1249,The European Commission welcomes the Council's adoption of the 17th Russia sanctions package.
20 May 2025,Commission welcomes political agreement on the progressive rollout of Europe's New Digital Border System,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1237,"The European Commission welcomes yesterday's provisional political agreement by the European Parliament and the Council on the Commission's proposal for a progressive rollout of Europe's new digital border system, the Entry/Exit System (EES)."
20 May 2025,Commission proposes to facilitate the application of the safe third country concept,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1224,"Today, the Commission proposes rules that will facilitate Member States' application of the safe third country concept."
19 May 2025,New chapter in EU-UK relations announced at Leaders' Summit in London,https://ec.europa.eu/commission/presscorner/detail/en/ac_25_1280,No content found
19 May 2025,The EU Mission Label awarded to 39 new cities,https://urban-mobility-observatory.transport.ec.europa.eu/news-events/news/eu-mission-label-awarded-39-new-cities-2025-05-19_en,"The European Commission awards the EU Mission Label to 39 new cities, recognising their efforts to achieve climate neutrality by 2030."
19 May 2025,New chapter in EU-UK relations announced at Leaders' Summit in London,https://ec.europa.eu/commission/presscorner/detail/en/ac_25_1280,At EU-UK Summit in London the two parties concluded a Security and Defence Partnership and reached agreements on several economic fronts. This will promote prosperity on both sides of the Channel and strengthen cooperation on common priorities.
19 May 2025,"Torino, European Capital of Smart Tourism 2025, sets a new standard for city breaks that go beyond sightseeing",https://smart-tourism-capital.ec.europa.eu/press/news/torino-european-capital-smart-tourism-2025-sets-new-standard-city-breaks-go-beyond-sightseeing-2025-05-19_en,"As the newly crowned European Capital of Smart Tourism 2025, Torino is demonstrating how urban destinations can become more inclusive, accessible and sustainable without losing their character."
19 May 2025,Commission welcomes agreement on a progressive start of the Entry/Exit system,https://home-affairs.ec.europa.eu/news/commission-welcomes-agreement-progressive-start-entryexit-system-2025-05-19_en,"The agreement will allow Member States to gradually benefit from the many advantages and capabilities of the system, while giving border authorities, the transport industry and travellers more time to adjust to the new procedures."
19 May 2025,More than 6.1 million workers trained under the Pact for Skills,https://pact-for-skills.ec.europa.eu/about/news-and-factsheets/more-61-million-workers-trained-under-pact-skills-2025-05-19_en,"More than 6.1 million people have received training under the Pact for Skills since its launch in 2020, according to the results of the 2024 Pact's annual survey."
19 May 2025,More than 6.1 million workers trained under the Pact for Skills,https://employment-social-affairs.ec.europa.eu/news/more-61-million-workers-trained-under-pact-skills-2025-05-19_en,"More than 6.1 million people have received training under the Pact for Skills since its launch in 2020, according to the results of the 2024 Pact's annual survey. Over 3,200 organisations that invest in skills development have now joined the Pact."
19 May 2025,Commission announces launch of the shared biometric matching service,https://home-affairs.ec.europa.eu/news/commission-announces-launch-shared-biometric-matching-service-2025-05-19_en,"The European Commission has announced the launch of the shared biometric matching service (sBMS), a major step towards seamless interoperability. This marks a significant milestone in the EU's efforts to enhance security, border, and migration management."
19 May 2025,First-ever certified reference material to improve diagnosis of coeliac disease,https://joint-research-centre.ec.europa.eu/jrc-news-and-updates/first-ever-certified-reference-material-improve-diagnosis-coeliac-disease-2025-05-19_en,"A new, JRC-developed control material will support labs worldwide to compare medical tests for coeliac disease and improve the accuracy of diagnosis."
19 May 2025,Join Us at European Maritime Day 2025 in Cork!,https://blue-economy-observatory.ec.europa.eu/news/join-us-european-maritime-day-2025-cork-2025-05-19_en,Join Us at European Maritime Day 2025 in Cork!
19 May 2025,PRB-PRC joint study on the actual benefits of Free Route Airspace,https://eu-single-sky.transport.ec.europa.eu/news/prb-prc-joint-study-actual-benefits-free-route-airspace-2025-05-19_en,PRB-PRC joint study on the actual benefits of Free Route Airspace
19 May 2025,New chapter in EU-UK relations announced at Leaders' Summit in London,https://ec.europa.eu/commission/presscorner/detail/en/ac_25_1280,At EU-UK Summit in London the two parties concluded a Security and Defence Partnership and reached agreements on several economic fronts. This will promote prosperity on both sides of the Channel and strengthen cooperation on common priorities.
19 May 2025,Results of 19-05-2025 auction (EU-Bonds),https://commission.europa.eu/news/results-19-05-2025-auction-eu-bonds-2025-05-19_en,Auction results EU-Bonds
19 May 2025,First-ever certified reference material to improve diagnosis of coeliac disease,https://joint-research-centre.ec.europa.eu/jrc-news-and-updates/first-ever-certified-reference-material-improve-diagnosis-coeliac-disease-2025-05-19_en,"A new, JRC-developed control material will support labs worldwide to compare medical tests for coeliac disease and improve the accuracy of diagnosis."
19 May 2025,Join Us at European Maritime Day 2025 in Cork!,https://blue-economy-observatory.ec.europa.eu/news/join-us-european-maritime-day-2025-cork-2025-05-19_en,Join Us at European Maritime Day 2025 in Cork!
19 May 2025,Pioneering sustainable fishing gear in Puglia,https://oceans-and-fisheries.ec.europa.eu/news/pioneering-sustainable-fishing-gear-puglia-2025-05-19_en,"Around 550,000 tonnes of fishing gear have accumulated in the European Economic Area, with 12,000 tonnes added annually. The Fishing Without Plastic (PE.S.PLA) project aimed to combat this by developing biodegradable materials for artisanal fishing gear, reducing environmental impact."
19 May 2025,New EIT Urban Mobility study calls for inclusive transport beyond the 9–5 model,https://urban-mobility-observatory.transport.ec.europa.eu/news-events/news/new-eit-urban-mobility-study-calls-inclusive-transport-beyond-9-5-model-2025-05-19_en,A new EIT Urban Mobility study examines how public transport networks throughout Europe can change to become more inclusive and adaptable to the various demands of contemporary urban dwellers.
19 May 2025,EU economy projected to moderately grow amid global economic uncertainty,https://commission.europa.eu/news/eu-economy-projected-moderately-grow-amid-global-economic-uncertainty-2025-05-19_en,The European Commission has published its spring 2025 economic forecast.
19 May 2025,More than 6.1 million workers trained under the Pact for Skills,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1247,"More than 6.1 million people have received training under the Pact for Skills since its launch in 2020, according to the results of the 2024 Pact's annual survey."
19 May 2025,Spring 2025 Economic Forecast: Moderate growth amid global economic uncertainty,https://ec.europa.eu/commission/presscorner/detail/en/ip_25_1248,"The EU economy began 2025 on a somewhat stronger footing than anticipated. It is projected to keep growing at a modest rate this year, with growth expected to pick up in 2026, despite heightened global policy uncertainty and trade tensions."
16 May 2025,"European Political Community united to preserve peace in Europe, President von der Leyen says",https://ec.europa.eu/commission/presscorner/detail/en/ac_25_1251,No content found
16 May 2025,Have your say on the future of European investments in digital technologies,https://investeu.europa.eu/news-and-events/news/have-your-say-future-european-investments-digital-technologies-2025-05-16_en,"We invite InvestEU’s project promoters and investors to share their views, through series of surveys, on the future outlook of markets, dependences and trends on a wide array of digital technologies critical for the EU’s competitiveness in view of investment needs for the next EC programming period."
16 May 2025,"Food crises: in 2024, nearly 300 m people suffered high levels of acute food insecurity",https://joint-research-centre.ec.europa.eu/jrc-news-and-updates/food-crises-2024-nearly-300-m-people-suffered-high-levels-acute-food-insecurity-2025-05-16_en,"The latest edition of the Global Report on Food Crises warns of devastating food security and nutrition crises, with no signs of improvement in 2025."
16 May 2025,Study on Health Taxes from an EU Perspective,https://taxation-customs.ec.europa.eu/news/study-health-taxes-eu-perspective-2025-05-16_en,"DG TAXUD publishes study on taxes on food high in fat, sugar and salt in the European Union."
16 May 2025,Vacancy for Assistants (establishment of a reserve list) (Contract Agent– FGIII) at the Europe's Rail Joint Undertaking (EU-RAIL),https://transport.ec.europa.eu/news-events/news/vacancy-assistants-establishment-reserve-list-contract-agent-fgiii-europes-rail-joint-undertaking-eu-2025-05-16_en,The deadline for applications is 05 June 2025 12:00 (Central European Time/ Brussels time)
16 May 2025,EU agri-food trade kicked off 2025 with growth in exports and imports,https://agriculture.ec.europa.eu/media/news/eu-agri-food-trade-kicked-2025-growth-exports-and-imports-2025-05-16_en,The latest monthly agri-food trade report shows developments in imports and exports of EU agri-food products in January 2025.
16 May 2025,Platform launch marks new milestone for the EU textiles ecosystem,https://single-market-economy.ec.europa.eu/news/platform-launch-marks-new-milestone-eu-textiles-ecosystem-2025-05-16_en,"The event took place on 16 May from 10.00 - 12.00. It included a guided tour of the platform, and a talk on how stakeholders can publish articles, access funding and network with others."
16 May 2025,Commission seeks feedback on commitments offered by Microsoft over possible anticompetitive practices related to Teams,https://competition-policy.ec.europa.eu/about/news/commission-seeks-feedback-commitments-offered-microsoft-over-possible-anticompetitive-practices-2025-05-16_en,press release
16 May 2025,Announcement of next auction (EU-Bills) on 21-05-2025,https://commission.europa.eu/news/announcement-next-auction-eu-bills-21-05-2025-2025-05-16_en,Auction announcement EU-Bills.
16 May 2025,Important step towards establishing the European Network of Network Operators for Hydrogen,https://energy.ec.europa.eu/news/important-step-towards-establishing-european-network-network-operators-hydrogen-2025-05-16_en,The Commission has published its Opinion on the statutory documents of the European Network of Network Operators for Hydrogen (ENNOH) – the independent association representing future hydrogen transmission network operators at EU level.
16 May 2025,Nuclear Innovation Prize 2025: Celebrating scientific excellence with direct societal impact,https://research-and-innovation.ec.europa.eu/news/all-research-and-innovation-news/nuclear-innovation-prize-2025-celebrating-scientific-excellence-direct-societal-impact-2025-05-16_en,Seven breakthrough ideas awarded for contributing to safer and more sustainable nuclear technologies
16 May 2025,Limerick Active Travel Project wins prestigious award,https://urban-mobility-observatory.transport.ec.europa.eu/news-events/news/limerick-active-travel-project-wins-prestigious-award-2025-05-16_en,Limerick's efforts to promote sustainable travel gets national recognition as the Childers Road Active Travel Scheme wins prestigious ICE Award.
16 May 2025,The road to 2030: what’s in store for work?,https://eures.europa.eu/road-2030-whats-store-work-2025-05-16_en,"The world continues to experience sweeping changes, and to stay relevant, our jobs and skills are evolving or disappearing altogether. What should we expect to see by 2030?"
16 May 2025,REPowerEU 3 years on: Commission takes stock of progress to phase out Russian fossil fuels,https://energy.ec.europa.eu/news/repowereu-3-years-commission-takes-stock-progress-phase-out-russian-fossil-fuels-2025-05-16_en,"Marking 3 years since the launch of the REPowerEU Plan, the Commission takes stock of progress towards cleaner, more autonomous and affordable energy."
16 May 2025,Benidorm Leads Europe’s Green Coastal Shift: A Smart Tourism Model for Climate Resilience,https://smart-tourism-capital.ec.europa.eu/news/benidorm-leads-europes-green-coastal-shift-smart-tourism-model-climate-resilience-2025-05-16_en,"Benidorm may be known for its golden coastline and sunny skies, but it’s the city’s approach to sustainability that has earned it the title of European Green Pioneer of Smart Tourism 2025."
16 May 2025,European Commission launches Study on alternative employment models for persons with disabilities,https://accessible-eu-centre.ec.europa.eu/content-corner/news/european-commission-launches-study-alternative-employment-models-persons-disabilities-2025-05-16_en,"The study is part of the Disability Employment Package, an EU initiative stemming from the Strategy for the Rights of Persons with Disabilities 2021-2030."
16 May 2025,The European Strategy for AI in Science: a RTD-JRC Stakeholder Event,https://ai-watch.ec.europa.eu/news/european-strategy-ai-science-rtd-jrc-stakeholder-event-2025-05-16_en,"On 15 May 2025, the European Commission hosted an online workshop bringing together 76 researchers from 11 countries to contribute to the forthcoming EU Strategy on Artificial Intelligence in Science."
